SIZE_PROBLEM;N_STEPS;;IDS_time;IDS_nodes;BFS_time;BFS_nodes;BFS_BI_time;BFS_BI_nodes;A_time;A_nodes;A Optimized_time;A Optimized_nodes
9;5;;3;48;4;75;1;18;4;12;1;11
9;5;;6;42;4;93;0;23;1;12;0;12
9;5;;3;42;3;93;2;23;2;11;1;17
9;5;;2;42;5;93;1;23;3;11;1;17
9;5;;4;48;6;87;1;23;1;9;1;12
9;5;;6;54;3;75;0;18;2;11;1;14
9;5;;4;42;4;93;1;23;2;11;1;17
9;5;;4;34;4;103;0;28;2;12;0;15
9;5;;4;48;2;75;0;18;4;18;0;11
9;5;;9;48;3;75;0;18;2;12;1;11
9;5;;9;60;3;61;0;16;2;11;1;11
9;5;;3;34;5;103;2;28;2;12;4;15
9;5;;7;36;10;101;4;28;3;18;0;11
9;5;;4;44;9;91;2;23;2;11;2;17
9;5;;11;42;7;84;1;20;2;11;1;11
9;5;;5;48;8;87;3;23;2;9;0;12
9;5;;8;48;6;87;0;23;2;9;1;12
9;5;;4;48;3;87;0;23;2;9;1;12
9;5;;5;44;3;91;1;23;2;11;0;17
9;5;;6;54;3;66;0;16;1;9;1;9
9;5;;3;34;6;103;1;28;2;12;2;15
9;5;;5;36;8;101;3;28;4;18;1;11
9;5;;8;60;5;61;1;16;2;11;3;11
9;5;;5;48;2;87;2;23;2;9;1;12
9;5;;4;44;6;91;0;23;3;15;0;14
9;5;;9;42;7;93;0;23;3;11;0;17
9;5;;4;48;3;87;0;23;1;9;1;12
9;5;;5;56;5;65;1;16;3;15;0;14
9;5;;5;42;7;84;0;20;4;13;1;14
9;5;;4;48;4;75;0;18;4;18;1;11
9;5;;6;42;9;93;2;23;2;11;2;17
9;5;;4;54;3;66;0;16;0;9;0;9
9;5;;7;48;7;75;1;18;1;12;0;11
9;5;;5;54;3;66;0;16;1;9;0;9
9;5;;6;54;3;75;0;18;2;11;1;14
9;5;;5;58;2;64;0;16;1;12;0;12
9;5;;4;48;3;87;1;23;1;9;0;12
9;5;;3;44;4;91;0;23;3;15;1;14
9;5;;7;54;3;66;0;16;1;9;1;9
9;5;;8;54;4;66;2;16;1;9;1;9
9;5;;8;54;3;66;0;16;0;9;0;9
9;5;;4;44;4;91;0;23;2;15;1;14
9;5;;5;48;3;75;0;18;1;12;0;11
9;5;;4;42;4;84;0;20;1;11;0;11
9;5;;5;56;3;65;0;16;2;15;0;14
9;5;;5;54;3;75;1;18;1;13;0;14
9;5;;5;54;3;66;1;16;1;9;0;9
9;5;;4;54;3;75;0;18;2;11;1;14
9;5;;4;42;3;93;1;23;2;12;1;12
9;5;;5;56;2;65;0;16;1;11;1;11
9;5;;3;36;3;101;1;28;4;18;1;11
9;5;;5;34;6;103;1;28;2;12;0;15
9;5;;5;44;4;91;1;23;3;15;1;14
9;5;;6;54;2;75;1;18;1;11;2;14
